unit,en,cn
Unit 3 Jobs & Careers,heckle,v. 责问
Unit 3 Jobs & Careers,fledgling,adj. 新建的
Unit 3 Jobs & Careers,established,adj. 致命的
Unit 3 Jobs & Careers,hold back,犹豫
Unit 3 Jobs & Careers,robust,adj. 有力的
Unit 3 Jobs & Careers,uncharted,adj. 未知的
Unit 3 Jobs & Careers,awry,adv. 错误地
Unit 3 Jobs & Careers,venture into,冒险进入
Unit 3 Jobs & Careers,sell off,低价售出
Unit 3 Jobs & Careers,bruising,adj. 惨痛的
Unit 3 Jobs & Careers,cut out for,适合于
Unit 3 Jobs & Careers,fickle,adj. 变化无常的
Unit 3 Jobs & Careers,stumble,n. 失足
Unit 3 Jobs & Careers,invaluable,adj. 珍贵的
Unit 3 Jobs & Careers,manic,adj. 疯狂的
Unit 3 Jobs & Careers,flip,v. 打开
Unit 3 Jobs & Careers,field,v. 答复
Unit 3 Jobs & Careers,save on,节省
Unit 3 Jobs & Careers,grind,n. 苦差事
Unit 3 Jobs & Careers,juggle,v. 兼顾
Unit 3 Jobs & Careers,entrepreneur,n. 企业家
Unit 3 Jobs & Careers,reap,v. 收获
Unit 3 Jobs & Careers,vision,n. 设想
Unit 3 Jobs & Careers,persevere,v. 坚持
Unit 4 Leadership,consultant,n. 顾问
Unit 4 Leadership,seniority,n. 年资，资历；年长
Unit 4 Leadership,hierarchy,n. 层级；等级制度
Unit 4 Leadership,executive,n. 主管，经理
Unit 4 Leadership,guarantee,n. 保证，担保
Unit 4 Leadership,worship,n. 崇拜，景仰
Unit 4 Leadership,personal attribute,个人属性；个人特质
Unit 4 Leadership,domineering,adj. 跋扈的，专横的
Unit 4 Leadership,charismatic,adj. 魅力超凡的，有感召力的
Unit 4 Leadership,extroverted,adj. 性格外向的
Unit 4 Leadership,synonymous,adj. 同义的；同义词的；同义突变的
Unit 4 Leadership,downline,n. 沿铁路线；下线
Unit 4 Leadership,P&L responsibility,profit and loss responsibility 损益责任
Unit 4 Leadership,coordinate,v. 调节，配合；使动作协调
Unit 4 Leadership,tautology,n. 同义反复；无谓的重复
Unit 4 Leadership,utter,v. 说出；发出，表达
Unit 4 Leadership,routine,adj. 常规的，例行的
Unit 4 Leadership,subordinate,n. 部属，下属，下级；从属，次要
Unit 4 Leadership,by default,默认情况下
Unit 4 Leadership,capacity,n. 能力；容量
Unit 4 Leadership,vision,n. 视力；美景；眼力；幻想；想象力
Unit 4 Leadership,empower,v. 授权，允许；使能够
Unit 4 Leadership,rioting,n. 暴乱
Unit 4 Leadership,hooligan,n. 阿飞；小流氓
Unit 4 Leadership,misalign,v. 不重合，偏位
Unit 4 Leadership,minimalism,n. 极简派艺术；极简主义
Unit 4 Leadership,reduction,n. 减少；下降；缩小
Unit 4 Leadership,victim,n. 受害人，牺牲品，牺牲者
Unit 4 Leadership,omit,v. 省略；遗漏
Unit 4 Leadership,inclusion,n. 包含；内含物
Unit 4 Leadership,discretionary,adj. 任意的；酌情决定的
Unit 5 Technology and Life,affection,n. 喜欢
Unit 5 Technology and Life,interact,v. 互动
Unit 5 Technology and Life,blind date,经介绍的第一次约会
Unit 5 Technology and Life,stamp,v. 标出
Unit 5 Technology and Life,inscription,n. 题词
Unit 5 Technology and Life,render,v. 致使
Unit 5 Technology and Life,for the benefit of,为了……的利益
Unit 5 Technology and Life,companion,n. 同伴
Unit 5 Technology and Life,evangelize,v. 向……传播
Unit 5 Technology and Life,self-imposed,自我强加的
Unit 5 Technology and Life,banish,v. 清除，废除
Unit 5 Technology and Life,stumble upon,偶然遇到
Unit 5 Technology and Life,avatar,n. （网络）头像，化身
Unit 5 Technology and Life,interface,n. 界面
Unit 5 Technology and Life,risky,adj. 危险的
Unit 5 Technology and Life,documentary,n. 纪录片
Unit 5 Technology and Life,illusion,n. 幻想
Unit 5 Technology and Life,intimacy,n. 亲密
Unit 5 Technology and Life,negotiation,n. 谈判
Unit 5 Technology and Life,relegation,n. 移交，驱逐
Unit 5 Technology and Life,chronic,adj. 长期的
Unit 5 Technology and Life,compulsively,adv. 无法控制地；有强迫症地
Unit 5 Technology and Life,invest in,投资
Unit 5 Technology and Life,designate,v. 把……定为
Unit 5 Technology and Life,snobby,adj. 势力的
Unit 5 Technology and Life,furtively,adv. 偷偷地
Unit 5 Technology and Life,zinger,n. 风趣的话
Unit 6 Information and Society,hierarchy,n. 等级制度
Unit 6 Information and Society,nothing but,仅仅
Unit 6 Information and Society,reproduce,v. 繁殖
Unit 6 Information and Society,overlap,v. 重叠，交叉
Unit 6 Information and Society,utopia,n. 乌托邦，理想国
Unit 6 Information and Society,rear its head,（不愉快的东西）出现
Unit 6 Information and Society,adaptive,adj. 有适应能力的
Unit 6 Information and Society,embed,v. 嵌入
Unit 6 Information and Society,primate,n. 灵长类动物
Unit 6 Information and Society,split up into,分成
Unit 6 Information and Society,isolate from,使与……隔离
Unit 6 Information and Society,interweave,v. （使）交织
Unit 6 Information and Society,proximity,n. 接近
Unit 6 Information and Society,facilitate,v. 促进
Unit 6 Information and Society,dispersal,n. 传播
Unit 6 Information and Society,coordinate,v. （使）协调
Unit 6 Information and Society,equivalent,adj. 相等的
Unit 6 Information and Society,optimal,adj. 最佳的
Unit 6 Information and Society,collective,adj. 集体的
Unit 6 Information and Society,delude,v. 哄骗
Unit 6 Information and Society,arbitrary,adj. 随意的
Unit 6 Information and Society,authoritative,adj. 有权威的
Unit 6 Information and Society,conversely,adv. 相反地，反过来
Unit 6 Information and Society,skepticism,n. 怀疑论
Unit 6 Information and Society,egalitarian,adj. 平等的
